location,list_price,unit_price,number_bedroom,number_bathroom,area,type
"Johor Bahru, Johor",1680000.0,52342.0,4.0,4.0,3212.0,House
"Johor Bahru, Johor",1750000.0,53852.0,5.0,5.0,3252.0,House
"Johor Bahru, Johor",772000.0,34622.0,4.0,4.0,2232.0,Townhouse
"Johor Bahru, Johor",768000.0,3102.0,4.0,5.0,24752.0,Townhouse
"Johor Bahru, Johor",1188000.0,4192.0,4.0,5.0,28332.0,Villa
"Johor Bahru, Johor",450000.0,44362.0,4.0,3.0,101.452,Condo
"Johor Bahru, Johor",2600000.0,5662.0,5.0,5.0,45902.0,Villa
"Johor Bahru, Johor",3500000.0,8502.0,6.0,6.0,41202.0,Villa
"Kinta, Perak",450000.0,3272.0,3.0,3.0,13772.0,Condo
"Kuala Kangsar, Perak",157000.0,,3.0,2.0,14002.0,House
Johor,620000.0,,3.0,2.0,163.52,House
"Johor Bahru, Johor",771000.0,33522.0,4.0,4.0,2302.0,Townhouse
"Kinta, Perak",398000.0,3282.0,3.0,2.0,12132.0,Condo
"Johor Bahru, Johor",830000.0,27952.0,5.0,5.0,2972.0,House
"Seberang Perai Utara, Pulau Pinang",330000.0,37002.0,3.0,2.0,89.182,House
"Johor Bahru, Johor",8800000.0,125002.0,5.0,5.0,7042.0,Villa
"Kinta, Perak",235000.0,3522.0,2.0,2.0,6672.0,Condo
"Kinta, Perak",800000.0,2502.0,4.0,4.0,32002.0,House
"Kinta, Perak",450000.0,2732.0,4.0,3.0,16502.0,House
"Kinta, Perak",338000.0,2822.0,4.0,3.0,12002.0,House
"Johor Bahru, Johor",2600000.0,4262.0,38.0,38.0,61002.0,Commercial
"Kinta, Perak",580000.0,3302.0,5.0,4.0,17602.0,House
"Kinta, Perak",193000.0,2182.0,3.0,2.0,8842.0,Condo
"Kinta, Perak",338000.0,1352.0,4.0,2.0,25082.0,House
"Kinta, Perak",378000.0,2982.0,4.0,3.0,12702.0,House
"Kinta, Perak",450000.0,3212.0,4.0,3.0,14002.0,House
"Kinta, Perak",368000.0,3412.0,4.0,2.0,10802.0,House
"Kinta, Perak",152000.0,1692.0,4.0,2.0,8992.0,Apartment
"Kinta, Perak",389000.0,2592.0,4.0,4.0,15002.0,House
"Kinta, Perak",258000.0,2152.0,3.0,2.0,12002.0,House
"Kinta, Perak",498000.0,1622.0,4.0,4.0,30802.0,House
"Kinta, Perak",350000.0,2272.0,3.0,2.0,15402.0,House
"Kinta, Perak",268000.0,1732.0,3.0,2.0,15502.0,House
"Kinta, Perak",420000.0,3002.0,4.0,3.0,14002.0,House
"Kinta, Perak",278000.0,2062.0,3.0,2.0,13502.0,House
"Kinta, Perak",220000.0,2292.0,3.0,2.0,9602.0,House
"Kinta, Perak",750000.0,3572.0,6.0,5.0,21002.0,House
"Johor Bahru, Johor",488000.0,27892.0,4.0,,1752.0,House
"Kinta, Perak",243000.0,2032.0,3.0,1.0,12002.0,House
"Kinta, Perak",280000.0,2592.0,3.0,2.0,10802.0,House
"Kinta, Perak",180000.0,2122.0,3.0,2.0,8502.0,Apartment
"Johor Bahru, Johor",2500000.0,,5.0,5.0,,Villa
"Kinta, Perak",420000.0,3822.0,4.0,3.0,11002.0,House
"Kinta, Perak",480000.0,3102.0,4.0,3.0,15502.0,House
"Johor Bahru, Johor",348000.0,34802.0,3.0,,1002.0,Apartment
"Johor Bahru, Johor",898000.0,,4.0,4.0,,House
"Kinta, Perak",380000.0,2972.0,4.0,3.0,12802.0,House
"Kuala Lumpur, Kuala Lumpur",478000.0,,2.0,1.0,,Condo
"Johor Bahru, Johor",580000.0,37662.0,5.0,,1542.0,House
"Kinta, Perak",600000.0,2862.0,6.0,4.0,21002.0,House
"Johor Bahru, Johor",580000.0,32222.0,5.0,,1802.0,House
"Johor Bahru, Johor",1280000.0,2242.0,,8.0,57202.0,Commercial
"Sepang, Selangor",197000.0,,2.0,1.0,,Condo
"Sepang, Selangor",225000.0,,2.0,2.0,,Condo
"Sepang, Selangor",225000.0,,2.0,2.0,,Condo
"Putrajaya, Putrajaya",400000.0,,3.0,2.0,,Condo
"Petaling, Selangor",592200.0,,3.0,3.0,,Condo
